id	name	summary	url	published_at	guid	location	created_at	updated_at	tags	category	source
23714	Астероид размером с 15-этажный дом пройдет ниже орбиты спутников	За астероидом 2012 DA14 следят все телескопы мира. По космическим меркам - песчинка, но по земным представлениям масштабы явления грандиозные. Каменная глыба размером с пятнадцатиэтажный дом пройдет мимо Земли на рекордно близком расстоянии от поверхности планеты.	http://www.vesti.ru/doc.html?id=1033889	02/15/2013 15:57:00	http://www.vesti.ru/doc.html?id=1033889		02/15/2013 18:01:44	02/15/2013 18:01:44			
23715	Свидетельница по делу Вячеслава Веснина стала обвиняемой	Свидетельница по делу Вячеслава Веснина — основателя скандальной секты самосовершенствования — стала обвиняемой. Соль-Илецкий следственный отдел завершил расследование уголовного дела в отношении 34-летней оренбурженки. Её обвиняют в отказе от дачи показаний.	http://www.vesti.ru/doc.html?id=1033903	02/15/2013 16:04:00	http://www.vesti.ru/doc.html?id=1033903		02/15/2013 18:01:45	02/15/2013 18:01:45			
23716	Перемены в ВАК: 11 кандидатов и докторов наук лишены ученых степеней	Высшая аттестационная комиссия в пятницу лишила 11 кандидатов и докторов наук — учёных степеней. Президиум впервые провёл Владимир Филиппов. Его предшественник обвиняется в махинациях на миллионы рублей. Напрямую с научной деятельностью это не связано, но репутация серьезно подмочена.	http://www.vesti.ru/doc.html?id=1033898	02/15/2013 16:14:00	http://www.vesti.ru/doc.html?id=1033898		02/15/2013 18:01:45	02/15/2013 18:01:45			
23717	Встреча глав минфинов G20: выход из мирового кризиса лежит через Кремль	Экономические судьбы мира решались в Московском Кремле. Министры финансов самых богатых и развитых стран собрались, чтобы наметить пути выхода из мирового кризиса. Тон заседания задал Владимир Путин. Он предложил российский взгляд на решение экономических проблем.	http://www.vesti.ru/doc.html?id=1033896	02/15/2013 16:17:00	http://www.vesti.ru/doc.html?id=1033896		02/15/2013 18:01:45	02/15/2013 18:01:45			
23718	Гигантский метеорит пронесется рядом с Землей на второй космической	Челябинский метеорит по своим размерам незначителен, по сравнению с астероидом массой в 130 тысяч тонн, который приближается к Земле. Ученые уверяют, что он пролетит мимо, но на минимально близком расстоянии.	http://www.vesti.ru/doc.html?id=1033895	02/15/2013 16:22:00	http://www.vesti.ru/doc.html?id=1033895		02/15/2013 18:01:45	02/15/2013 18:01:45			
23719	Следователя жестоко избили на глазах у полицейских	В башкирском городе Бирск проверяют полицейских, на глазах которых жестоко избили следователя. Камера наблюдения передавала кадры с места происшествия непосредственно в отдел полиции.	http://www.vesti.ru/doc.html?id=1040534	02/24/2013 15:47:00	http://www.vesti.ru/doc.html?id=1040534		02/24/2013 18:04:23	02/24/2013 18:04:23			
23720	Прогрессивный подоходный налог вернется	В перспективе переход на прогрессивный подоходный налог в России станет неизбежным. Но для этого понадобится изменить как концептуальные подходы в отечественной экономике, так и излишне запутанное пока практическое налоговое администрирование.	http://www.vesti.ru/doc.html?id=1033923	02/15/2013 16:15:00	http://www.vesti.ru/doc.html?id=1033923		02/15/2013 18:01:45	03/04/2013 18:11:32			
23721	"Первый фильм ""бондианы"" могут конвертировать в 3D"	"Юбилейный год Джеймса Бонда закончился, но разработчики франшизы продолжают преподносить поклонникам агента 007 все новые сюрпризы. Ходят слухи, что первый фильм ""бондианы"", шпионский боевик 1962 года ""Доктор Ноу"" с Шоном Коннери, вновь появится на большом экране - на этот раз в 3D."	http://www.vesti.ru/doc.html?id=1036025	02/19/2013 06:12:00	http://www.vesti.ru/doc.html?id=1036025		02/19/2013 18:50:18	02/19/2013 18:50:18			
23722	Квартиру с боевиками в Махачкале берут штурмом	В Махачкале на проспекте Шамиля сотрудники правоохранительных органов штурмуют квартиру, где укрылся боевик. Трое боевиков были заблокированы ранее в одной из квартир пятиэтажного многоквартирного жилого дома. Двое боевиков после длительных переговоров сдались, третий – отказался.	http://www.vesti.ru/doc.html?id=1033893	02/15/2013 15:59:00	http://www.vesti.ru/doc.html?id=1033893		02/15/2013 18:01:44	02/22/2013 06:01:14			
23723	"""Карнавал Триумфа"": пассажиры утопили лайнер в нечистотах"	В порт американского штата Алабама наконец прибыл круизный лайнер Carnival Triumph. Полностью обесточенное судно неделю дрейфовало в Мексиканском заливе. Радости пассажиров не было предела: четыре тысячи туристов, среди которых были россияне, считали часы до окончания экстремальной поездки.	http://www.vesti.ru/doc.html?id=1033900	02/15/2013 16:52:00	http://www.vesti.ru/doc.html?id=1033900		02/15/2013 18:01:46	02/15/2013 18:01:46			
23724	На берегу моря нашли сто килограммов кокаина	Датские полицейские обнаружили крупную партию кокаина на берегу Северного моря. Белый порошок был расфасован по герметичным пакетам и коробкам.	http://www.vesti.ru/doc.html?id=1033910	02/15/2013 16:59:00	http://www.vesti.ru/doc.html?id=1033910		02/15/2013 18:01:46	02/15/2013 18:01:46			
23725	"Платная рыбалка: Госдума вернула ""рыбу"" законопроекта Росрыболовству"	Депутаты совместно с общественниками раскритиковали законопроект о рыбалке и вернули его Росрыболовству на доработку.	http://www.vesti.ru/doc.html?id=1033912	02/15/2013 17:05:00	http://www.vesti.ru/doc.html?id=1033912		02/15/2013 18:01:46	02/15/2013 18:01:46			
23726	Новый альбом Земфиры: исповедь после пяти лет молчания	"Впервые после многолетнего перерыва певица Земфира выпустила новый альбом под названием ""Жить в твоей голове"". Диск должен был появиться еще полтора года назад, но сроки неоднократно сдвигались."	http://www.vesti.ru/doc.html?id=1033918	02/15/2013 17:28:00	http://www.vesti.ru/doc.html?id=1033918		02/15/2013 18:01:46	02/15/2013 18:01:46			
23727	Виктору Пикайзену - 80	"Свой юбилейный концерт скрипач Виктор Пикайзен репетирует с молодежью из оркестра ""Московия"". Для ребят это, как если бы Давид Ойстрах давал мастер-класс. Виктор Александрович – единственный, кто учился у великого музыканта от Гнесинской школы до аспирантуры Московской консерватории."	http://www.vesti.ru/doc.html?id=1033919	02/15/2013 17:34:00	http://www.vesti.ru/doc.html?id=1033919		02/15/2013 18:01:46	02/15/2013 18:01:46			
23728	GIF захватывает весь мир	GIF захватывает Сеть. Допотопный формат сжатия изображений, вообще непонятно как доживший до наших дней, совершенно внезапно выбрался в Большой Интернет. Этот феномен пока не удалось объяснить, но он настолько заметен, что об этом пишет даже The New York Times.	http://www.vesti.ru/doc.html?id=1033917	02/15/2013 17:51:00	http://www.vesti.ru/doc.html?id=1033917		02/15/2013 18:01:46	02/15/2013 18:01:46			
23729	Свердловское правительство выделило средства на ликвидацию долгостроев	Обманутых дольщиков в Екатеринбурге в этом году станет меньше. Областное правительство выделило порядка 20 миллионов рублей на ликвидацию долгостроев.	http://www.vesti.ru/doc.html?id=1033911	02/15/2013 17:03:00	http://www.vesti.ru/doc.html?id=1033911		02/15/2013 18:01:46	02/22/2013 06:01:15			
23730	Писториус собирается оспорить обвинение в убийстве своей девушки	Шестикратный паралимпийский чемпион из ЮАР Оскар Писториус собирается оспорить выдвинутое против него обвинение в убийстве. Об этом говорится в заявлении его агента, опубликованном в пятницу.	http://www.vesti.ru/doc.html?id=1033915	02/15/2013 17:18:00	http://www.vesti.ru/doc.html?id=1033915		02/15/2013 18:01:46	02/17/2013 08:54:54			
23731	"Велоспорт. ""Катюша"" получила лицензию Мирового тура"	"Международный союз велосипедистов (UCI) зарегистрировал российскую ""Катюшу"" в качестве профессиональной команды на сезон 2013 года Мирового тура. Как говорится в сообщении руководящего органа мирового велоспорта, ""решение было принято вслед за постановлением Спортивного арбитражного суда (CAS)""."	http://www.vesti.ru/doc.html?id=1036024	02/19/2013 06:13:00	http://www.vesti.ru/doc.html?id=1036024		02/19/2013 18:50:18	02/22/2013 06:01:14			
23732	Потерпевшие по делу бывшего сити-менеджера Смоленска не явились на заседание	Потерпевшие по делу бывшего сити-менеджера Константина Лазарева снова не явились на заседание. В Смоленске продолжается громкий судебный процесс.	http://www.vesti.ru/doc.html?id=1033907	02/15/2013 16:43:00	http://www.vesti.ru/doc.html?id=1033907		02/15/2013 18:01:46	02/22/2013 06:01:15			
23733	Биатлон. Ирина Старых – чемпионка Европы	Российская биатлонистка Ирина Старых стала победительницей спринтерской гонки на 7,5 км на чемпионате Европы, который проходит в болгарском городе Банско.	http://www.vesti.ru/doc.html?id=1040565	02/24/2013 16:09:00	http://www.vesti.ru/doc.html?id=1040565		02/24/2013 18:04:23	02/24/2013 18:04:23			
23791	Bombardier создает электрические автобусы	Канадская компания Bombardier решила создать электроавтобус. Именно автобус, а не троллейбус, так как постоянного контакта с проводами у него не будет.	http://www.vesti.ru/doc.html?id=1036108	02/19/2013 07:34:00	http://www.vesti.ru/doc.html?id=1036108		02/19/2013 18:50:21	02/19/2013 18:50:21			
23734	В пермском Лицее полиции стартовал cлет юных патриотов	"Cлет юных патриотов стартовал в Перми. Ученики кадетских школ съехались из разных уголков России и СНГ. Испытания приближены к реальности: марш-бросок, стрельба из автомата Калашникова и пистолета Макарова. Для изучения боевой техники в палаточный городок привезли настоящие ""Смерч"" и ""Град""."	http://www.vesti.ru/doc.html?id=1036031	02/19/2013 06:14:00	http://www.vesti.ru/doc.html?id=1036031		02/19/2013 18:50:18	03/04/2013 18:11:33			
23735	Санный спорт.  Сборная России заняла второе место на этапе Кубка мира	Сборная России завоевала серебряные медали в командных соревнованиях на финальном этапе розыгрыша Кубка мира по санному спорту в Сочи.	http://www.vesti.ru/doc.html?id=1040568	02/24/2013 16:17:00	http://www.vesti.ru/doc.html?id=1040568		02/24/2013 18:04:23	03/04/2013 18:11:33			
23736	"Биатлонист Алексей Волков: поставил себе ""неуд"""	Российский биатлонист, четырехкратный чемпион Европы Алексей Волков сказал, что неудачно отработал на огневом рубеже в индивидуальной гонке на чемпионате мира в чешском Нове Место. Напомним, что Алексей был лучшим в сборной России, заняв 15-е место.	http://www.vesti.ru/doc.html?id=1033576	02/15/2013 07:26:00	http://www.vesti.ru/doc.html?id=1033576		02/15/2013 18:01:23	03/04/2013 18:11:34			
23737	Биатлон. Волков и Загоруйко поведут россиян на Евро	Тренерский штаб сборной России по биатлону назвал состав команды на чемпионат Европы, который пройдет 20-26 февраля в болгарском городке Банско. Лидерами мужской и женской команда стали Алексей Волков и Анастасия Загоруйко.	http://www.vesti.ru/doc.html?id=1036023	02/19/2013 06:24:00	http://www.vesti.ru/doc.html?id=1036023		02/19/2013 18:50:18	03/04/2013 18:11:34			
