geonameid;name;latitude;longitude;population;countrycode
367308;Визбаден,Висбаден,Вісбаден,Горад Вісбадэн;50.08258;8.24932;272432;DE
377724;Горад Хайфа,Хаифа,Хайф?,Хайфа;32.81841;34.9885;267300;IL
379303;Оахака де Хуарес;17;-96.71667;262566;MX
379427;АКТЮБИНСК,Актюбинск,А?т?бе;50.27969;57.20718;262457;KZ
418606;Хирацука;35.32306;139.34222;259052;JP
433635;Оспиталет-де-Льобрегат;41.35967;2.10028;257038;ES
456172;Љубљана,Горад Любляна,Люблян?,Любляна,Любл?на;46.05108;14.50513;255115;SI
587084;Санта Клара;22;-79.96667;250512;CU
588335;Горад Тэль-Авіў,Тел Авив,Тел-Авив,Тель-Авив,Тель-Авів;32.08088;34.78057;250000;IL
601294;Горад Ла-Карунья,Коруња,Ла Коруня,Ла Коруња,Ла-Корунья;43.37135;-8.396;246056;ES
611583;Ибинь;28.76667;104.62383;242111;CN
616199;Балыкесир;39.64917;27.88611;238151;TR
617345;Чернэуць,Чернівці;48.29149;25.94034;236250;UA
629447;Лил,Лилль;50.63297;3.05858;228328;FR
634093;Гирлянда;32.91262;-96.63888;226876;US
643492;Букаву;-2.49076;28.84281;225389;CD
644171;Лексингтон;37.98869;-84.47772;225366;US
650224;"Горад Аўеда,Ов'єдо,Овиедо,Овиједо,Овьедо";43.36029;-5.84476;224005;ES
657530;Формоза,Формоса;-26.17753;-58.17814;221383;AR
663118;Оберхаузен;51.47311;6.88074;219176;DE
667526;Фрайбург,Фрајбург;47.9959;7.85222;215966;DE
668828;Горад Новы Сад,Нови Сад,Нови-Сад,Новий Сад,Новъ Садъ;45.25167;19.83694;215400;RS
677429;Рочестер,Рочестър;43.15478;-77.61556;210565;US
681179;Накхонратчасима;14.97066;102.10196;208781;TH
682729;Габороне;-24.65451;25.90859;208411;BW
685811;Монтгомери,Монтгомері;32.36681;-86.29997;205764;US
686818;Горад Рычманд,Ричмонд,Ричмънд;37.55376;-77.46026;204214;US
689304;Иян;28.58917;112.32833;202608;CN
692118;ПЕТРОПАВЛОВСК,Петропавл,Петропавловск;54.87278;69.143;200920;KZ
694423;Белая Церковь,Біла Церква;49.80939;30.11209;199163;UA
696566;Горад Ростак,Росток,Рошток,Рощок;54.0887;12.14049;198293;DE
697593;Фуенлабрада;40.28419;-3.79415;197836;ES
698131;Нортгемптон,Нортхемптон,Нортхемптън;52.25;-0.88333;197322;GB
701075;Мобил,Мобіл;30.69436;-88.04305;195111;US
702972;Литл-Рок;34.74648;-92.28959;193524;US
704202;Клаипеда,Клайпеда,Клајпеда;55.71722;21.1175;192307;LT
705883;Хънтингтън Бийч;33.6603;-117.99923;189992;US
707244;Алмерия,Алмерија,Альмери,Альмерия,Альмерія;36.83814;-2.45974;188810;ES
710098;Сан-Себастьян;43.31283;-1.97499;185357;ES
711515;Цюаньчжоу;24.91389;118.58583;184143;CN
712559;Лембанге;-6.81167;107.6175;183130;ID
715126;Горад Саарбрукен,Саарбрюкен,Саарбрюккен,Сарбрикен;49.2354;6.98165;181227;DE
719965;Кастельон-де-ла-Плана,Кастељон де ла Плана;39.98333;-0.03333;180005;ES
724503;КУТАИСИ,Кутаиси,Кутаїсі;42.24961;42.69974;178338;GE
