geonameid;name;asciiname;altnames;lat;long;fclass;fcode;ccode;cc2;acode1;acode2;acode3;acode4;pop;elev;gtopo;tz;mdate
548740;Kikvidze;Kikvidze;KIKVIDZE,Kikvidse,Kikvidze,Preobrazhenka,Preobrazhenskaja,Preobrazhenskaya,КИКВИДЗЕ,Киквидзе,Преображенская;50.74161;43.0518;P;PPL;RU;;84;;;;5475;;91;Europe/Volgograd;17.01.2012
566712;Demikhovo;Demikhovo;Demikhova,Demikhovo,Демихово;55.79685;38.88404;P;PPL;RU;;47;;;;5474;;124;Europe/Moscow;17.01.2012
524651;Mstera;Mstera;MSTERA,Mstera,МСТЕРА,Мстера;56.37889;41.92;P;PPL;RU;;83;;;;5470;;105;Europe/Moscow;17.01.2012
1502066;Krasnoshchkovo;Krasnoshchekovo;Kraskoshchekovo,Krasnoshchekovo,Krasnoshchkovo,Krasnoshhekovo,Krasnoshhjokovo,Krasnosjtsjekovo,Краснощеково,Краснощёково;51.67083;82.72889;P;PPL;RU;;4;;;;5463;;242;Asia/Omsk;17.01.2012
505154;Pristen’;Pristen';Mar'ino,Mar’ino,PRISTEN',Pristen,Pristen',Pristen’,ПРИСТЕНЬ,Пристень;51.23551;36.69594;P;PPL;RU;;41;;;;5463;;243;Europe/Moscow;17.01.2012
568527;Chernyshkovskiy;Chernyshkovskiy;CHERNYSHKOVSKIJ,Chernyshkov,Chernyshkovskij,Chernyshkovskiy,Tschernyschkowski,Tsjernysjkovskij,Tzhernyshkovskiy,ЧЕРНЫШКОВСКИЙ,Чернышковский;48.42188;42.23082;P;PPL;RU;;84;;;;5458;;76;Europe/Volgograd;17.01.2012
468899;Yaroslavskaya;Yaroslavskaya;Jaroslavskaja,Yaroslavskaya,Yaroslavskoye,Ярославская;44.61056;40.46417;P;PPL;RU;;38;;;;5458;;264;Europe/Moscow;17.01.2012
858712;Novyy Sulak;Novyy Sulak;Novyj Sulak,Novyy Sulak,SULAK,Sulak,Новый Сулак,СУЛАК;43.21239;46.81426;P;PPL;RU;;17;;;;5454;;43;Europe/Moscow;29.02.2012
582490;Alkhazurovo;Alkhazurovo;Alhazurovo,Alkhazurovo,Olkhazar-KIotar,Olkhazaran-KIotar,Olxazar-Khotar,Olxazaran-Khotar,Privol'noe,Privol'noye,Privol’noe,Privol’noye,Алхазурово,Олхазар-КІотар,Олхазаран-КІотар,Привольное;43.0639;45.65134;P;PPL;RU;;12;;;;5452;;365;Europe/Moscow;04.08.2012
2013362;Vladimiro-Aleksandrovskoye;Vladimiro-Aleksandrovskoye;Aleksandrovka,Aleksandrovskoe,Alexandrovka,Vladimir,Vladimiro-Aleksandrovskoe,Vladimiro-Aleksandrovskoje,Vladimiro-Aleksandrovskoye,Vladimirovka,Владимиро-Александровское;42.89444;133.07778;P;PPL;RU;;59;;;;5444;;17;Asia/Vladivostok;17.01.2012
2014833;Tura;Tura;TURA,Toera,Tura,Turinskaya Kul'tbaza,Turinskaya Kul’tbaza,Turinskaya Kutbaza,tula,ТУРА,Тура,;64.28333;100.25;P;PPLA;RU;;91;;;;5444;;338;Asia/Krasnoyarsk;04.08.2012
1491219;Sovetskoye;Sovetskoye;Gryaznukha,Sovetskoe,Sovetskoje,Sovetskoye,Советское;52.28556;85.41424;P;PPL;RU;;4;;;;5441;;212;Asia/Omsk;04.08.2012
509269;Piterka;Piterka;PITERKA,Piterka,ПИТЕРКА,Питерка;50.6803;47.4454;P;PPL;RU;;67;;;;5437;;43;Europe/Volgograd;17.01.2012
492333;Skoropuskovskiy;Skoropuskovskiy;SKOROPUSKOVSKIJ,Skoropuskovskij,Skoropuskovskiy,СКОРОПУСКОВСКИЙ;56.36667;38.16667;P;PPL;RU;;47;;;;5434;;199;Europe/Moscow;29.11.2008
487246;Strelka;Strelka;Krasnaya Strela,Krasnaya Strelka,Strelka,Стрелка;45.20633;37.2865;P;PPL;RU;;38;;;;5433;;11;Europe/Moscow;17.01.2012
484314;Tarnogskiy Gorodok;Tarnogskiy Gorodok;Tarnogskij-Gorodok,Tarnogskiy Gorodok,Тарногский-Городок;60.49972;43.57611;P;PPL;RU;;85;;;;5432;;101;Europe/Moscow;17.01.2012
554318;Kalevala;Kalevala;KALEVALA,Kalevala,Uchtinskaja,Uhtua,Ukhta,КАЛЕВАЛА,Калевала;65.20519;31.17563;P;PPL;RU;;28;;;;5431;;116;Europe/Moscow;17.01.2012
