geonameid;name;latitude;longitude;fclass;acode;population
555980;ИШИМБАЙ,Ишимбай,Ишимбај;53.45446;56.04149;P;8;70421
495940;Междуреченский Район,Шалинский Район,Шелан Район;43.16667;45.91667;A;12;70354
584243;АДЛЕР,Адлер;43.42896;39.92391;P;38;70200
569955;ЧАПАЕВСК,Чапаевск;52.9771;49.7086;P;65;70147
480089;ТУЙМАЗЫ,Туймазы;54.60666;53.7097;P;8;68829
532675;ЛЫСЬВА,Лысьва;58.10861;57.80528;P;90;68660
572525;БОРИСОГЛЕБСК,Борисоглебск,Борисоглібськ;51.36713;42.08494;P;86;68597
490172;СОСНОВЫЙ БОР,Сосновый Бор;59.8996;29.08574;P;42;68563
584297;Ачхой-Мартановский Район,Новосельский Район,ТІехьа-Мартанан Район;43.08333;45.25;A;12;68410
565614;ДОЛГОПРУДНЫЙ,Долгопрудный;55.90411;37.56064;P;47;68259
571306;БУДЕННОВСК,Будённовск;44.78389;44.16583;P;70;67962
2026895;БЕЛОГОРСК,Белогорск;50.91583;128.46111;P;5;67911
1503772;Ханты-Мансийск;61.00417;69.00194;P;32;67800
1505453;ИШИМ,Ишим;56.11281;69.49015;P;78;67762
540103;КСТОВО,Кстово;56.14733;44.19787;P;51;67242
582750;АЛЕКСИН,Алексин;54.50503;37.0674;P;76;66885
542394;Красноглинский Район;53.3228;50.21044;A;65;66785
539147;КУНГУР,Кунгур;57.4368;56.9593;P;90;66389
547475;КЛИНЦЫ,Клинцы;52.76019;32.23934;P;10;66336
2019309;НЕРЮНГРИ,Нерюнгри;56.6709;124.6491;P;63;66320
536162;ЛЕНИНОГОРСК,Лениногорск;54.60256;52.46087;P;73;66263
558082;ГУКОВО,Гуково;48.05306;39.93111;P;61;66079
1500607;Лесосибирск,НОВОМАКЛАКОВО;58.23583;92.48278;P;91;65945
1494573;ПОЛЕВСКОЙ,Полевской;56.44222;60.18778;P;71;65770
527717;МЕЛЕУЗ,Мелеуз;52.96667;55.91667;P;8;65362
539283;КУМЕРТАУ,Кумертау;52.76667;55.78333;P;8;65321
492094;СЛАВЯНСК НА КУБАНИ,Славянск-на-Кубани,Слов'янськ на Кубані;45.2558;38.1256;P;38;65196
